decade,count,runtime_mean,runtime_median
1960.0,20,125.8,119.5
1970.0,109,116.25688073394495,113.0
1980.0,278,110.64388489208633,106.0
1990.0,778,110.36632390745501,106.0
2000.0,2048,105.43896484375,102.0
2010.0,1444,104.03808864265928,102.0
